origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Greater Bendigo,Hume,18,Weekend,PM_Peak,62,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,19,Weekend,Off_Peak,95,Flora Hill,Bendigo Loddon,-36.76027365719228,144.29640191322605,Bulla (Vic.),Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,19,Weekday,Off_Peak,329,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,20,Weekend,Off_Peak,242,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,20,Weekday,Off_Peak,570,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,21,Weekday,Off_Peak,782,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,21,Weekend,Off_Peak,222,North Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Meadow Heights,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,22,Weekend,Off_Peak,453,California Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Sunbury,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,22,Weekday,Off_Peak,539,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,23,Weekday,Off_Peak,627,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,23,Weekend,Off_Peak,306,Knowsley,Bendigo Loddon,-36.76027365719228,144.29640191322605,Sunbury,Melbourne,-37.615969590974,144.88136462221786
Greater Geelong,Casey,0,Weekday,Off_Peak,509,Charlemont,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,0,Weekend,Off_Peak,240,Lara,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,1,Weekday,Off_Peak,544,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,1,Weekend,Off_Peak,310,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,2,Weekday,Off_Peak,690,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde North,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,2,Weekend,Off_Peak,306,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,3,Weekday,Off_Peak,756,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Endeavour Hills,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,3,Weekend,Off_Peak,336,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde North,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,4,Weekday,Off_Peak,832,Charlemont,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,4,Weekend,Off_Peak,346,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,5,Weekday,Off_Peak,923,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,5,Weekend,Off_Peak,369,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,6,Weekday,Off_Peak,959,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,6,Weekend,Off_Peak,350,Wallington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,7,Weekday,AM_Peak,1003,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,7,Weekend,AM_Peak,402,Geelong,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,8,Weekend,AM_Peak,483,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,8,Weekday,AM_Peak,1239,Indented Head,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,9,Weekend,AM_Peak,362,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
